name,death_year,occupation,wikidata_id,wikidata_url
Ramai Pandit,1200,poet,Q7288770,https://www.wikidata.org/wiki/Q7288770
Nur Qutb Alam,1415,poet|writer,Q31723891,https://www.wikidata.org/wiki/Q31723891
Krittibas Ojha,1461,poet,Q3346456,https://www.wikidata.org/wiki/Q3346456
Kavi Karnapura,1580,playwright|poet,Q106824680,https://www.wikidata.org/wiki/Q106824680
Lochandas,1589,poet,Q117190481,https://www.wikidata.org/wiki/Q117190481
Vrindavana Dasa Thakura,1589,poet|writer,Q7943127,https://www.wikidata.org/wiki/Q7943127
Daulat Qazi,1638,poet,Q5227999,https://www.wikidata.org/wiki/Q5227999
Narahari Chakraborty,1643,poet|writer,Q113784310,https://www.wikidata.org/wiki/Q113784310
Syed Sultan,1648,poet|writer,Q13060133,https://www.wikidata.org/wiki/Q13060133
Alaol,1680,poet,Q3350443,https://www.wikidata.org/wiki/Q3350443
Dom Antonio do Rosario,1695,writer,Q37583282,https://www.wikidata.org/wiki/Q37583282
Ramdas Adak,1708,poet|writer,Q136932976,https://www.wikidata.org/wiki/Q136932976
Bharatchandra Ray,1760,poet|writer,Q2501700,https://www.wikidata.org/wiki/Q2501700
Heyat Mamud,1760,poet,Q18989305,https://www.wikidata.org/wiki/Q18989305
Ramprasad Sen,1775,poet|writer,Q3347343,https://www.wikidata.org/wiki/Q3347343
Baneshwar Vidyalankar,1788,playwright|writer,Q13058915,https://www.wikidata.org/wiki/Q13058915
Chandi Charan Munshi,1808,writer,Q13057817,https://www.wikidata.org/wiki/Q13057817
Ramram Basu,1813,poet|writer,Q4079215,https://www.wikidata.org/wiki/Q4079215
Mrityunjay Vidyalankar,1819,writer,Q24037883,https://www.wikidata.org/wiki/Q24037883
Jaynarayan Ghoshal,1820,writer,Q48977630,https://www.wikidata.org/wiki/Q48977630
Ram Basu,1828,poet,Q97251183,https://www.wikidata.org/wiki/Q97251183
Gangakishore Bhattacharya,1831,journalist|writer,Q48677123,https://www.wikidata.org/wiki/Q48677123
John Pearson,1831,writer,Q50219901,https://www.wikidata.org/wiki/Q50219901
Paran Chandra Babu,1831,writer,Q50194330,https://www.wikidata.org/wiki/Q50194330
Ram Mohan Roy,1833,writer,Q335269,https://www.wikidata.org/wiki/Q335269
William Carey,1834,writer,Q312948,https://www.wikidata.org/wiki/Q312948
Ramnidhi Gupta,1839,poet,Q1987411,https://www.wikidata.org/wiki/Q1987411
William Hopkins Pears,1840,writer,Q50195242,https://www.wikidata.org/wiki/Q50195242
Gangadhar Tarkabagish,1844,writer,Q48681006,https://www.wikidata.org/wiki/Q48681006
Krishnakanta Bhaduri,1844,poet,Q31725595,https://www.wikidata.org/wiki/Q31725595
Ramkamal Sen,1844,writer,Q7289678,https://www.wikidata.org/wiki/Q7289678
Ram Chandra Vidyabagish,1845,writer,Q7288451,https://www.wikidata.org/wiki/Q7288451
William Yates,1845,writer,Q8020661,https://www.wikidata.org/wiki/Q8020661
Jaygopal Tarkalankar,1846,writer,Q26962527,https://www.wikidata.org/wiki/Q26962527
Bhabani Charan Bandyopadhyay,1848,journalist|novelist,Q4900474,https://www.wikidata.org/wiki/Q4900474
Kashinath Tarkapanchanan,1851,writer,Q28060599,https://www.wikidata.org/wiki/Q28060599
Augustin D'Silva,1853,writer,Q107172336,https://www.wikidata.org/wiki/Q107172336
Mutty Lall Seal,1854,writer,Q6944137,https://www.wikidata.org/wiki/Q6944137
Nilratna Haldar,1855,writer,Q50190153,https://www.wikidata.org/wiki/Q50190153
Uday Chandra Adhya,1856,writer,Q107132317,https://www.wikidata.org/wiki/Q107132317
Dasarathi Roy,1857,poet|writer,Q19739503,https://www.wikidata.org/wiki/Q19739503
Dwarakanath Adhikari,1857,poet,Q18987691,https://www.wikidata.org/wiki/Q18987691
Ramjay Tarkalankar,1857,writer,Q28060593,https://www.wikidata.org/wiki/Q28060593
Madan Mohan Tarkalankar,1858,poet,Q2561447,https://www.wikidata.org/wiki/Q2561447
Tarashankar Tarkaratna,1858,writer,Q21481863,https://www.wikidata.org/wiki/Q21481863
Anandaram Dhekial Phukan,1859,poet,Q4751350,https://www.wikidata.org/wiki/Q4751350
Gouri Shankar Bhattacharya,1859,writer,Q16345384,https://www.wikidata.org/wiki/Q16345384
Ishwar Chandra Gupta,1859,poet|writer,Q6080707,https://www.wikidata.org/wiki/Q6080707
Jagannath Prasad Basu Mallik,1859,writer,Q48906987,https://www.wikidata.org/wiki/Q48906987
Hannah Catherine Mullens,1861,novelist|writer,Q5646757,https://www.wikidata.org/wiki/Q5646757
Ramaprasad Roy,1862,writer,Q107061803,https://www.wikidata.org/wiki/Q107061803
Sadeq Ali,1862,poet,Q75186313,https://www.wikidata.org/wiki/Q75186313
Nilmani Basak,1864,writer,Q23059860,https://www.wikidata.org/wiki/Q23059860
Apūrbo Krishnā Kunvar,1867,poet,Q94642904,https://www.wikidata.org/wiki/Q94642904
Radhakanta Deb,1867,writer,Q7280210,https://www.wikidata.org/wiki/Q7280210
Girish Chandra Ghosh,1869,journalist,Q134585370,https://www.wikidata.org/wiki/Q134585370
"Janamejaya Mitra ""Arman""",1869,poet,Q131940981,https://www.wikidata.org/wiki/Q131940981
Jadunath Sarbadhikary,1870,writer,Q117464988,https://www.wikidata.org/wiki/Q117464988
Kaliprasanna Singha,1870,novelist|playwright|writer,Q6353105,https://www.wikidata.org/wiki/Q6353105
Durgadoss Kar,1871,playwright,Q47013099,https://www.wikidata.org/wiki/Q47013099
Harish Chandra Mitra,1872,playwright|poet|writer,Q5657861,https://www.wikidata.org/wiki/Q5657861
Jaynarayan Tarkapanchanan,1872,writer,Q48977637,https://www.wikidata.org/wiki/Q48977637
Ayodhyanath Pakrashi,1873,writer,Q30056571,https://www.wikidata.org/wiki/Q30056571
Dinabandhu Mitra,1873,playwright|poet|writer,Q2075170,https://www.wikidata.org/wiki/Q2075170
Harimohan Pramanik,1873,writer,Q54556173,https://www.wikidata.org/wiki/Q54556173
Kishori Chand Mitra,1873,writer,Q22018987,https://www.wikidata.org/wiki/Q22018987
Michael Madhusudan Dutt,1873,playwright|poet|writer,Q666864,https://www.wikidata.org/wiki/Q666864
Kali Krishna Deb,1874,writer,Q48167980,https://www.wikidata.org/wiki/Q48167980
Ram Chandra Mitra,1874,writer,Q51035270,https://www.wikidata.org/wiki/Q51035270
Ananda Chandra Bedantabagish,1875,writer,Q18987265,https://www.wikidata.org/wiki/Q18987265
Peary Charan Sircar,1875,writer,Q7158395,https://www.wikidata.org/wiki/Q7158395
Shyama Charan Shrimani,1875,writer,Q118115215,https://www.wikidata.org/wiki/Q118115215
John Clark Marshman,1877,writer,Q6226199,https://www.wikidata.org/wiki/Q6226199
Toru Dutt,1877,essayist|novelist|poet|writer,Q7827414,https://www.wikidata.org/wiki/Q7827414
John Robinson,1878,writer,Q31783814,https://www.wikidata.org/wiki/Q31783814
Surendranath Majumder,1878,poet|writer,Q37609707,https://www.wikidata.org/wiki/Q37609707
Mahtab Chand Bahadur,1879,writer,Q23730370,https://www.wikidata.org/wiki/Q23730370
Kshetranath Bhattacharya,1880,writer,Q48639869,https://www.wikidata.org/wiki/Q48639869
Kalikrishna Lahiri,1881,writer,Q120597794,https://www.wikidata.org/wiki/Q120597794
Nagendranath Bandyopadhyay,1882,playwright,Q49989627,https://www.wikidata.org/wiki/Q49989627
Shyama Charan Sarkar,1882,writer,Q23452044,https://www.wikidata.org/wiki/Q23452044
Peary Chand Mitra,1883,novelist|writer,Q288769,https://www.wikidata.org/wiki/Q288769
Pramathanath Mitra,1883,playwright,Q23782677,https://www.wikidata.org/wiki/Q23782677
Rasik Chandra Roy,1883,writer,Q50610874,https://www.wikidata.org/wiki/Q50610874
Hara Chandra Ghosh,1884,playwright,Q23729814,https://www.wikidata.org/wiki/Q23729814
Harinath Nyayratna,1884,writer,Q27564576,https://www.wikidata.org/wiki/Q27564576
Ramdhan Tarkapanchanan,1884,writer,Q107172358,https://www.wikidata.org/wiki/Q107172358
Adhar Lal Sen,1885,poet|writer,Q4682481,https://www.wikidata.org/wiki/Q4682481
Bharatendu Harishchandra,1885,journalist|novelist|playwright|poet|writer,Q2628981,https://www.wikidata.org/wiki/Q2628981
Gangadhar Sen Roy,1885,writer,Q48684730,https://www.wikidata.org/wiki/Q48684730
Kamal Krishna Deb,1885,writer,Q55137396,https://www.wikidata.org/wiki/Q55137396
Kartikeya Chandra Roy,1885,writer,Q33302331,https://www.wikidata.org/wiki/Q33302331
Krishna Mohan Banerjee,1885,writer,Q5565188,https://www.wikidata.org/wiki/Q5565188
Taranath Tarkabachaspati,1885,writer,Q27564536,https://www.wikidata.org/wiki/Q27564536
Akshay Kumar Datta,1886,writer,Q3351851,https://www.wikidata.org/wiki/Q3351851
Dwarkanath Vidyabhusan,1886,poet|writer,Q5317957,https://www.wikidata.org/wiki/Q5317957
Fateh Ali Waisi,1886,poet,Q118115290,https://www.wikidata.org/wiki/Q118115290
Rajkrishna Mukhopadhyay,1886,poet|writer,Q27184066,https://www.wikidata.org/wiki/Q27184066
Ramnarayan Tarkaratna,1886,playwright|writer,Q13059599,https://www.wikidata.org/wiki/Q13059599
Rakhaldas Haldar,1887,writer,Q111955395,https://www.wikidata.org/wiki/Q111955395
Rakhaldas Majumder,1887,writer,Q50612827,https://www.wikidata.org/wiki/Q50612827
Ramdas Sen,1887,writer,Q23782712,https://www.wikidata.org/wiki/Q23782712
Rangalal Bandyopadhyay,1887,poet,Q16346409,https://www.wikidata.org/wiki/Q16346409
Gangacharan Sarkar,1888,writer,Q48680790,https://www.wikidata.org/wiki/Q48680790
Krishna Kamal Goswami,1888,playwright|writer,Q28060607,https://www.wikidata.org/wiki/Q28060607
Prananath Dutta,1888,playwright|writer,Q50275470,https://www.wikidata.org/wiki/Q50275470
Ganga Prasad Mukhopadhyay,1889,writer,Q48684953,https://www.wikidata.org/wiki/Q48684953
Sanjib Chandra Chattopadhyay,1889,poet|writer,Q13059878,https://www.wikidata.org/wiki/Q13059878
Annadacharan Khastagir,1890,writer,Q13056829,https://www.wikidata.org/wiki/Q13056829
Lalon,1890,poet|writer,Q3347988,https://www.wikidata.org/wiki/Q3347988
Pramadacharan Sen,1890,writer,Q50242643,https://www.wikidata.org/wiki/Q50242643
Bipin Behari Chakrabarty,1891,writer,Q139590651,https://www.wikidata.org/wiki/Q139590651
Ishwar Chandra Vidyasagar,1891,playwright|writer,Q964111,https://www.wikidata.org/wiki/Q964111
Taraknath Gangopadhyay,1891,novelist|writer,Q13058148,https://www.wikidata.org/wiki/Q13058148
Dharmaraj Barua,1892,writer,Q117241689,https://www.wikidata.org/wiki/Q117241689
Jagadishwar Gupta,1892,writer,Q48801347,https://www.wikidata.org/wiki/Q48801347
Lal Behari Day,1892,journalist|writer,Q6480029,https://www.wikidata.org/wiki/Q6480029
Jadunath Mukhopadhyay,1893,writer,Q50569727,https://www.wikidata.org/wiki/Q50569727
